p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0.00289650834167996,1.6912249722866,0.852,0.76,1,0,Zfyve27
0.0029393846601868,1.57279789438715,0.981,0.94,1,0,Fam178a
0.00294973594711793,0.84272805472521,0.778,0.88,1,0,Gabpb2
0.00297574717795804,1.07986229591587,0.991,0.96,1,0,Ppap2b
0.00300593612081271,1.80747641717217,0.926,0.92,1,0,Glg1
0.00300960189760842,1.34838577175144,0.963,0.9,1,0,Srgap3
0.00308631356472003,0.765714145028145,0.991,1,1,0,Anxa3
0.00318910215732203,1.51868215384265,0.87,0.58,1,0,Med12
0.00320179199131784,1.71639700119167,0.87,0.74,1,0,Itga7
0.00326386802712137,0.941313485834673,0.889,0.76,1,0,Mier3
0.00339945162337012,1.7573987230445,1,1,1,0,Kcnq1ot1
0.00341584295765281,1.17696422943137,0.722,0.46,1,0,Ncrna00085
0.00346104215894084,0.791537227711706,0.991,0.94,1,0,Zdhhc20
0.00356932016595336,1.73141523654646,0.806,0.66,1,0,Slc35a2
0.00358802071805773,0.8979685816017,0.991,0.98,1,0,Kif3a
0.00365299514526161,1.00735414645095,1,1,1,0,Rock2
0.00365906202918785,1.28128685147808,0.898,0.74,1,0,Cpq
0.00369688647615385,0.925429918547045,1,0.98,1,0,Clcn3
0.00371874956765767,0.652830273612712,0.991,0.94,1,0,Sdf2
0.00372117781763358,2.56151882132326,0.731,0.62,1,0,Ilvbl
0.00372346069749277,1.8807162333931,0.852,0.74,1,0,Zcchc7
0.00374033579548151,0.630723733676225,0.981,0.92,1,0,Tmeff2
0.00375589518428968,1.42962027656048,0.926,0.78,1,0,Palld
0.00377125023189932,1.2842751761253,0.926,0.86,1,0,Aox1
0.00379261569308439,0.733804327922575,0.898,0.74,1,0,Ttc17
0.00385110102757175,1.94832668955196,0.907,0.84,1,0,Bace1
0.00387728723659074,0.594193752733327,1,0.98,1,0,Cdh2
0.00387728723659074,0.647082927213932,1,1,1,0,Fat1
0.00399403359222592,1.07300138761073,0.991,0.98,1,0,Tnfrsf12a
0.00405946514474644,2.55338764066392,0.944,0.9,1,0,Nexn
0.00411401974289456,0.69694359680997,0.991,1,1,0,Epas1
0.00411891345770216,1.64159646657869,0.898,0.8,1,0,Gprasp1
0.00423622139025641,0.943402426030667,0.972,0.94,1,0,Slc39a7
0.00425982790008669,1.18923106430134,0.963,0.92,1,0,Tspan5
0.00433980615328124,1.90207792561769,0.759,0.6,1,0,Fahd1
0.00439995907917736,0.544647334745036,0.306,0.52,1,0,Hnrnpul1
0.00444284955240904,1.85905984631798,0.852,0.66,1,0,Fzd8
0.00445883241346771,0.715186952560257,0.963,0.84,1,0,Sidt2
0.00446707948957889,2.03416409516956,0.824,0.66,1,0,Cttnbp2
0.00446749726232203,0.648435233677747,1,1,1,0,Hsp90b1
0.00451651035132125,0.948835504902205,0.954,0.92,1,0,Golgb1
0.00452005873900024,0.602757069946633,0.991,0.96,1,0,Gpc4
0.00452585809393047,1.39767121965376,0.935,0.82,1,0,Ppp1r9a
0.00464853710834654,1.5741413826657,0.861,0.74,1,0,Ankrd16
0.00467263432590555,1.04276517646355,0.944,0.88,1,0,Smpdl3a
0.00467399588957098,1.81155102586776,0.63,0.38,1,0,Ryr3
0.0047063821481121,0.886071266636638,0.972,0.9,1,0,Ptprg
0.0048931332466994,0.815962523613028,0.944,0.86,1,0,Lphn2
0.00490427790488746,3.27052628527524,0.62,0.44,1,0,Zdhhc13
0.00496220585003477,0.648847416019372,0.991,0.96,1,0,Etnk1
